35,"Thursday 12th of October 2017 09:26:57 PM","<div class=""article__time"">14:38</div>",," 14:38 Порошенко: Кто будет красть в армии – руки поотрубаю ""Я очень надеюсь, что в кратчайшие сроки общество получит полноценную информацию, что случилось и как случилось"", – сказал Порошенко. ","<div class=""article__subtitle"">""Я очень надеюсь, что в кратчайшие сроки общество получит полноценную информацию, что случилось и как случилось"", – сказал Порошенко.</div>"
36,"Thursday 12th of October 2017 09:26:57 PM","<div class=""article__time"">14:37</div>",," 14:37 ПАСЕ: противники обучения на украинском просят не считать их ""агентами Путина"" Депутаты от Венгрии и Румынии, которые добились принятия критичной по отношению к &#8203;&#8203;Украине резолюции Парламентской ассамблеи Совета Европы, объяснили, что это не является доказательством их пророссийскости. ","<div class=""article__subtitle"">Депутаты от Венгрии и Румынии, которые добились принятия критичной по отношению к &#8203;&#8203;Украине резолюции Парламентской ассамблеи Совета Европы, объяснили, что это не является доказательством их пророссийскости.</div>"
37,"Thursday 12th of October 2017 09:26:57 PM","<div class=""article__time"">14:33</div>",," 14:33 Гройсман о заявлениях Земана: Здоровый человек такого не скажет Премьер-министр Владимир Гройсман заявляет, что в вопросах языка образования другим странам не стоит выдвигать Украине ультиматумы, а руководителям государств в своих заявлениях проявлять уважение к Украине. ","<div class=""article__subtitle"">Премьер-министр Владимир Гройсман заявляет, что в вопросах языка образования другим странам не стоит выдвигать Украине ультиматумы, а руководителям государств в своих заявлениях проявлять уважение к Украине.</div>"
38,"Thursday 12th of October 2017 09:26:57 PM","<div class=""article__time"">14:24</div>",," 14:24 В Испании разбился истребитель, возвращавшийся с военного парада В Испании около базы Альбасете разбился истребитель Eurofighter, который возвращался с парада по случаю Национального праздника Испании. ","<div class=""article__subtitle"">В Испании около базы Альбасете разбился истребитель Eurofighter, который возвращался с парада по случаю Национального праздника Испании.</div>"
39,"Thursday 12th of October 2017 09:26:57 PM","<div class=""article__time"">14:24</div>",," 14:24 Экс-депутату грозит 15 лет тюрьмы за содействие оккупации Крыма Прокуратура направила в суд обвинительный акт в отношении бывшего депутатши Верховной Рады Крыма, которая помогала россиянам захватывать полуостров. ","<div class=""article__subtitle"">Прокуратура направила в суд обвинительный акт в отношении бывшего депутатши Верховной Рады Крыма, которая помогала россиянам захватывать полуостров.</div>"
40,"Thursday 12th of October 2017 09:26:57 PM","<div class=""article__time"">14:23</div>",," 14:23 На шахте в ОРДО произошел взрыв: сообщают о 3 погибших Три человека погибли в результате взрыва газо-воздушной смеси в районе ранее закрытой шахты №16 города Шахтерска в оккупированной части Донецкой области. ","<div class=""article__subtitle"">Три человека погибли в результате взрыва газо-воздушной смеси в районе ранее закрытой шахты №16 города Шахтерска в оккупированной части Донецкой области.</div>"
41,"Thursday 12th of October 2017 09:26:57 PM","<div class=""article__time"">14:22</div>",," 14:22 Руководители Минфина, Минэкономики и НБУ едут на переговоры с МВФ Официальная делегация Украины в составе руководства Нацбанка, Министерства финансов и Минэкономики отбыли в Вашингтон для участия в ежегодном собрании Международного валютного фонда и Группы Всемирного банка. ","<div class=""article__subtitle"">Официальная делегация Украины в составе руководства Нацбанка, Министерства финансов и Минэкономики отбыли в Вашингтон для участия в ежегодном собрании Международного валютного фонда и Группы Всемирного банка.</div>"
42,"Thursday 12th of October 2017 09:26:57 PM","<div class=""article__time"">14:16</div>",," 14:16 МИД: Украинских врачей не пустили к Грибу в СИЗО в РФ Украинские консулы не получили ответ от российской стороны о допуске украинских медиков, к удерживаемому в краснодарском СИЗО Павлу Грибу. ","<div class=""article__subtitle"">Украинские консулы не получили ответ от российской стороны о допуске украинских медиков, к удерживаемому в краснодарском СИЗО Павлу Грибу.</div>"
43,"Thursday 12th of October 2017 09:26:57 PM","<div class=""article__time"">13:56</div>",," 13:56 ""Лаборатория Касперского"" заявляет, что не шпионит в США ""Лаборатория Касперского"" опровергает информацию об использовании программного обеспечения компании для поиска секретных документов в США и просит предоставить доказательства. ","<div class=""article__subtitle"">""Лаборатория Касперского"" опровергает информацию об использовании программного обеспечения компании для поиска секретных документов в США и просит предоставить доказательства.</div>"
44,"Thursday 12th of October 2017 09:26:57 PM","<div class=""article__time"">13:55</div>",," 13:55 Подаозреваемый во взятке начальник полиции охраны восстановлен в должности Апелляционный суд Киева восстановил в должности начальника департамента полиции охраны Сергея Будника, подозреваемого в получении взятки. ","<div class=""article__subtitle"">Апелляционный суд Киева восстановил в должности начальника департамента полиции охраны Сергея Будника, подозреваемого в получении взятки.</div>"
45,"Thursday 12th of October 2017 09:26:57 PM","<div class=""article__time"">13:41</div>",," 13:41 Компания, возможная участница схем Минобороны, скрывается от СМИ Попытки ""Украинской правды"" получить какие-либо комментарии от компании ""Трейд Коммодити"", которая подозревается в причастности к скандалу с незаконными закупками Минобороны, не увенчались успехом. ","<div class=""article__subtitle"">Попытки ""Украинской правды"" получить какие-либо комментарии от компании ""Трейд Коммодити"", которая подозревается в причастности к скандалу с незаконными закупками Минобороны, не увенчались успехом.</div>"
46,"Thursday 12th of October 2017 09:26:57 PM","<div class=""article__time"">13:23</div>",," 13:23 У Ложкина ушло больше года, чтобы только собрать свой инвестсовет Экс-глава Администрации президента Борис Ложкин потратил больше года, чтобы только сформировать состав Национального инвестиционного совета. ","<div class=""article__subtitle"">Экс-глава Администрации президента Борис Ложкин потратил больше года, чтобы только сформировать состав Национального инвестиционного совета.</div>"
47,"Thursday 12th of October 2017 09:26:57 PM","<div class=""article__time"">13:17</div>",," 13:17 Андрей Шевченко остается тренером сборной Федерация футбола Украины не планирует увольнять главного тренера сборной Андрея Шевченко и его тренерский штаб. ","<div class=""article__subtitle"">Федерация футбола Украины не планирует увольнять главного тренера сборной Андрея Шевченко и его тренерский штаб.</div>"
48,"Thursday 12th of October 2017 09:26:57 PM","<div class=""article__time"">13:15</div>",," 13:15 Количество рейдерских захватов агропредприятий увеличилось вдвое - СМИ С начала года Антирейдерский союз предпринимателей зарегистрировал семьдесят случаев силовых захватов агропредприятий, и это вдвое больше, чем было за весь 2016 год. ","<div class=""article__subtitle"">С начала года Антирейдерский союз предпринимателей зарегистрировал семьдесят случаев силовых захватов агропредприятий, и это вдвое больше, чем было за весь 2016 год.</div>"
49,"Thursday 12th of October 2017 09:26:57 PM","<div class=""article__time"">12:50</div>",," 12:50 Революция Достоинства: 2 ""титушек"" приговорили к 5 годам условно  Святошинский районный суд Киева приговорил к 5 годам лишения свободы условно 2 ""титушек"" за участие в задержании совместно с милицией активистов Автомайдана 23 января 2014 года. ","<div class=""article__subtitle"">Святошинский районный суд Киева приговорил к 5 годам лишения свободы условно 2 ""титушек"" за участие в задержании совместно с милицией активистов Автомайдана 23 января 2014 года.</div>"
50,"Thursday 12th of October 2017 09:26:57 PM","<div class=""article__time"">12:45</div>",," 12:45 ПАСЕ приняла решение об образовании на языках меньшинств в Украине Парламентская ассамблея Совета Европы приняла решение с рекомендациями Украине по итогам срочных дебатов. ","<div class=""article__subtitle"">Парламентская ассамблея Совета Европы приняла решение с рекомендациями Украине по итогам срочных дебатов.</div>"
51,"Thursday 12th of October 2017 09:26:57 PM","<div class=""article__time"">12:44</div>",," 12:44 В законе не прописали перерасчет пенсий на оккупированных территориях – Рева Вопрос перерасчета пенсий гражданам, которые проживают на неконтролируемых территориях Украины, законом не определен и остается открытым. ","<div class=""article__subtitle"">Вопрос перерасчета пенсий гражданам, которые проживают на неконтролируемых территориях Украины, законом не определен и остается открытым.</div>"
52,"Thursday 12th of October 2017 09:26:57 PM","<div class=""article__time"">12:43</div>",," 12:43 Стали известны подробности проекта закона об авто на еврономерах Народные депутаты подготовили законопроект о растаможивании автомобилей с иностранной регистрацией. ","<div class=""article__subtitle"">Народные депутаты подготовили законопроект о растаможивании автомобилей с иностранной регистрацией.</div>"
53,"Thursday 12th of October 2017 09:26:57 PM","<div class=""article__time"">12:36</div>",," 12:36 Полиция выяснила, кто допустил избиение Березы Ответственность за организацию порядка на матче, где избили депутата Юрия Березу, несли организатор встречи, оператор стадиона и футбольный клуб. ","<div class=""article__subtitle"">Ответственность за организацию порядка на матче, где избили депутата Юрия Березу, несли организатор встречи, оператор стадиона и футбольный клуб.</div>"
54,"Thursday 12th of October 2017 09:26:57 PM","<div class=""article__time"">12:27</div>",," 12:27 ""Даже Кучма не говорил по-украински"": в ПАСЕ требуют отменить образовательный закон Члены Парламентской ассамблеи Совета Европы, среди которых лидируют представители Румынии, во время дебатов в ПАСЕ жестко раскритиковали украинский закон об образовании. ","<div class=""article__subtitle"">Члены Парламентской ассамблеи Совета Европы, среди которых лидируют представители Румынии, во время дебатов в ПАСЕ жестко раскритиковали украинский закон об образовании.</div>"
55,"Thursday 12th of October 2017 09:26:57 PM","<div class=""article__time"">12:10</div>",," 12:10 Еще двум чиновникам Минобороны сообщили о подозрении Национальное антикоррупционное бюро сообщило еще 2 чиновникам Минобороны о подозрении в растрате государственных средств при закупке топлива. ","<div class=""article__subtitle"">Национальное антикоррупционное бюро сообщило еще 2 чиновникам Минобороны о подозрении в растрате государственных средств при закупке топлива.</div>"
56,"Thursday 12th of October 2017 09:26:57 PM","<div class=""article__time"">12:09</div>",," 12:09 Дело 2 мая в Одессе: Оправданному россиянину сообщили о новом подозрении Полиция сообщила о подозрении ранее оправданному гражданину России Евгению Мефедову в совершении действий, направленных на захват государственной власти, и подготовке к организации массовых беспорядков в Одессе. ","<div class=""article__subtitle"">Полиция сообщила о подозрении ранее оправданному гражданину России Евгению Мефедову в совершении действий, направленных на захват государственной власти, и подготовке к организации массовых беспорядков в Одессе.</div>"
57,"Thursday 12th of October 2017 09:26:57 PM","<div class=""article__time"">12:06</div>",," 12:06 Прокуратура просит помочь с доказательствами против генерала РФ Военная прокуратура выясняет имена тех, кого удерживали в подразделении так называемого ""МГБ ЛНР"", и причастных к преступлениям российского генерала Романа Шадрина. ","<div class=""article__subtitle"">Военная прокуратура выясняет имена тех, кого удерживали в подразделении так называемого ""МГБ ЛНР"", и причастных к преступлениям российского генерала Романа Шадрина.</div>"
58,"Thursday 12th of October 2017 09:26:57 PM","<div class=""article__time"">12:04</div>",," 12:04 СБУ предупреждает о возможности новой масштабной кибератаки  Служба безопасности предупреждает о подготовке новой волны масштабной кибератаки на государственные структуры и частные компании. ","<div class=""article__subtitle"">Служба безопасности предупреждает о подготовке новой волны масштабной кибератаки на государственные структуры и частные компании.</div>"
